萬年班表,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
LB01-1,,1午,3午,R,R,1早,1早,1早,1午,R,R,3午,1午,1午,1午,1午,R,1午,1午,1午,1午,1午,R,1早,2早,3早,1午,1夜,R,R,2早,1早,1早,2早,2早,R,R,1夜,1夜,1夜,1夜,R,R,1早,1早,1早,1午,R,R,3早,1早,1早,1夜,R,R,1午
LB01-2,R,R,1午,1午,1午,1夜,R,R,1早,1午,1午,1午,R,R,1早,1早,1早,2午,R,R,3早,1早,3早,2早,1早,R,1早,1早,1早,2午,1午,R,2早,1早,1夜,1夜,1夜,R,R,1午,1午,1午,1午,1夜,R,R,3午,1午,2午,1夜,R,R,1早,1早,1午,1夜
LB01-3,1午,2午,R,R,1早,2早,1午,1夜,R,R,1早,1早,1早,1早,R,R,1午,1夜,1夜,1夜,R,R,1早,3早,3早,1早,R,R,1午,1午,2午,1午,1午,R,1早,1早,1午,1午,1午,R,1早,1早,3午,1午,3午,R,R,1早,1早,1早,1夜,1夜,R,R,2午,2午
LB01-4,1早,1早,1早,1早,R,R,2午,1午,2午,3午,R,R,2早,1夜,1夜,1夜,R,R,1早,1早,1早,1夜,R,R,1午,1午,2午,1午,R,R,1早,3早,1夜,1夜,R,R,1早,1早,1早,1早,2早,R,1早,3午,1午,1午,2午,R,1午,1午,1午,1午,1午,R,R,1早
LB02-1,2早,R,R,2早,2午,1午,1夜,R,R,2午,3午,2午,2午,R,R,2早,2早,1早,2早,2早,R,3早,1午,1午,2午,2午,R,2午,1夜,1夜,1夜,1夜,R,R,1午,2午,2午,3午,2午,R,R,2早,2早,2午,1夜,R,R,2早,2早,2早,2早,R,R,2早,1早,2早
LB02-2,R,2早,2午,3午,1夜,R,R,2早,2早,1早,2早,R,R,2早,3早,2午,1夜,R,R,3早,2早,2早,2午,R,R,2早,3早,2早,2早,2早,R,2午,2午,1午,2午,1午,R,2早,2早,2午,2午,2午,R,R,2午,1夜,1夜,1夜,1夜,R,R,2午,2午,1午,1夜,R
LB03-1,1夜,1夜,1夜,1夜,R,R,3早,3早,3早,3早,3早,R,3午,3午,2午,3午,3午,R,3早,3午,3午,3午,1夜,R,R,3午,3午,3午,3午,3午,R,R,3早,3早,3早,3早,R,R,3早,3午,3午,3午,R,R,3早,2早,1早,2午,R,R,3早,3早,3早,1夜,R,R
LB03-2,R,3早,3早,3早,3早,3早,R,R,3午,1夜,1夜,1夜,1夜,R,R,3早,3早,3早,2午,R,R,2午,3午,3午,3午,R,R,3早,3早,3早,3早,R,R,3午,3午,3午,3午,R,R,3早,3早,1夜,1夜,R,R,3早,3早,3午,3午,2午,R,2早,3午,3午,3午,3午
LB03-3,3早,3午,R,R,3午,3午,3午,3午,1夜,R,R,3早,3早,3早,3午,R,R,3午,3午,2午,1夜,R,R,1夜,1夜,1夜,1夜,R,R,1早,3午,3午,3午,R,R,2早,3早,3早,3午,R,R,3早,3早,3早,2早,3午,R,3早,3早,3午,3午,3午,R,3早,3早,3早
LB04-1,4早,R,R,4早,4午,6午,6夜,R,R,4午,5午,4午,4午,R,R,4早,4早,6早,4早,4早,R,5早,6午,6午,4午,4午,R,4午,6夜,6夜,6夜,6夜,R,R,6午,4午,4午,5午,4午,R,R,4早,4早,4午,6夜,R,R,4早,4早,4早,4早,R,R,4早,6早,4早
LB04-2,R,4早,4午,5午,6夜,R,R,4早,4早,6早,4早,R,R,4早,5早,4午,6夜,R,R,5早,4早,4早,4午,R,R,4早,5早,4早,4早,4早,R,4午,4午,6午,4午,6午,R,4早,4早,4午,4午,4午,R,R,4午,6夜,6夜,6夜,6夜,R,R,4午,4午,6午,6夜,R
LB04-3,6早,6早,6早,6早,R,R,4午,6午,4午,5午,R,R,4早,6夜,6夜,6夜,R,R,6早,6早,6早,6夜,R,R,6午,6午,4午,6午,R,R,6早,5早,6夜,6夜,R,R,6早,6早,6早,6早,4早,R,6早,5午,6午,6午,4午,R,6午,6午,6午,6午,6午,R,R,6早
LB05-1,6夜,6夜,6夜,6夜,R,R,5早,5早,5早,5早,5早,R,5午,5午,4午,5午,5午,R,5早,5午,5午,5午,6夜,R,R,5午,5午,5午,5午,5午,R,R,5早,5早,5早,5早,R,R,5早,5午,5午,5午,R,R,5早,4早,6早,4午,R,R,5早,5早,5早,6夜,R,R
LB05-2,R,5早,5早,5早,5早,5早,R,R,5午,6夜,6夜,6夜,6夜,R,R,5早,5早,5早,4午,R,R,4午,5午,5午,5午,R,R,5早,5早,5早,5早,R,R,5午,5午,5午,5午,R,R,5早,5早,6夜,6夜,R,R,5早,5早,5午,5午,4午,R,4早,5午,5午,5午,5午
LB05-3,5早,5午,R,R,5午,5午,5午,5午,6夜,R,R,5早,5早,5早,5午,R,R,5午,5午,4午,6夜,R,R,6夜,6夜,6夜,6夜,R,R,6早,5午,5午,5午,R,R,4早,5早,5早,5午,R,R,5早,5早,5早,4早,5午,R,5早,5早,5午,5午,5午,R,5早,5早,5早
LB06-1,5午,6午,5午,R,R,6早,6早,6早,6午,R,R,5午,6午,6午,6午,6午,R,6午,6午,6午,6午,6午,R,6早,4早,5早,6午,6夜,R,R,4早,6早,6早,4早,4早,R,R,6夜,6夜,6夜,6夜,R,R,6早,6早,6早,6午,R,R,5早,6早,6早,6夜,R,R,6午
LB06-2,R,R,6午,6午,6午,6夜,R,R,6早,6午,6午,6午,R,R,6早,6早,6早,4午,R,R,5早,6早,5早,4早,6早,R,6早,6早,6早,4午,6午,R,4早,6早,6夜,6夜,6夜,R,R,6午,6午,6午,6午,6夜,R,R,5午,6午,4午,6夜,R,R,6早,6早,6午,6夜
LB06-3,6午,4午,R,R,6早,4早,6午,6夜,R,R,6早,6早,6早,6早,R,R,6午,6夜,6夜,6夜,R,R,6早,5早,5早,6早,R,R,6午,6午,4午,6午,6午,R,6早,6早,6午,6午,6午,R,6早,6早,5午,6午,5午,R,R,6早,6早,6早,6夜,6夜,R,R,4午,4午
